accuracy,loss,val_accuracy,val_loss
0.9453551769256592,0.1584637612104416,0.845381498336792,0.4378325939178467
0.9522576928138733,0.1507946103811264,0.845381498336792,0.49161872267723083
0.9603106379508972,0.14173536002635956,0.8353413939476013,0.43953174352645874
0.9502444863319397,0.14751651883125305,0.845381498336792,0.4137263298034668
0.9623238444328308,0.1299125999212265,0.8373494148254395,0.45803147554397583
0.9600229859352112,0.12430273741483688,0.8473895788192749,0.4467197060585022
0.9680759310722351,0.10862693190574646,0.8534136414527893,0.41649019718170166
0.9686511158943176,0.10678887367248535,0.8473895788192749,0.4566340446472168
0.9732528328895569,0.09911862015724182,0.8554216623306274,0.44821637868881226
0.9729651808738708,0.09407057613134384,0.8554216623306274,0.4412699043750763
0.9764164686203003,0.08769449591636658,0.8574297428131104,0.4988428056240082
0.9775668382644653,0.08652224391698837,0.8554216623306274,0.4696338474750519
0.9818809032440186,0.07365302741527557,0.8634538054466248,0.47495099902153015
0.9804428815841675,0.07777713239192963,0.849397599697113,0.46987855434417725
0.9838941693305969,0.07215110212564468,0.8534136414527893,0.4831013083457947
0.985332190990448,0.06704165786504745,0.8534136414527893,0.5325260758399963
0.9864826202392578,0.060995232313871384,0.8594377636909485,0.4952557682991028
0.9890710115432739,0.056737978011369705,0.8353413939476013,0.5833759903907776
0.9916594624519348,0.05279107391834259,0.8674699068069458,0.4886173903942108
0.9919470548629761,0.04748079925775528,0.8554216623306274,0.4724668562412262
0.990509033203125,0.04888967052102089,0.8554216623306274,0.5184760093688965
0.9882082343101501,0.048201996833086014,0.8714859485626221,0.5110434889793396
0.9936727285385132,0.03977898135781288,0.8634538054466248,0.5241097807884216
0.9948230981826782,0.03651232644915581,0.8614457845687866,0.5475863218307495
0.9956859350204468,0.03229308873414993,0.8594377636909485,0.5638210773468018
